Year,Student Name,School,Class,Subject,Prelim Result,PSLE Result
2023,Suresh S/O Raj 126,Nanyang Primary School,P6-2,Foundation Tamil Language,84/100,85/100
2022,Ainul Zafira 596,St Joseph’s Institution Junior,P6-3,Foundation Malay Language,89/100,88/100
2023,Lee Hui Min 324,Anglo-Chinese School (Primary),P6-3,Higher Chinese Language,83/100,80/100
2024,Lim Jia Hao 969,Raffles Girls' Primary School,P6-1,Chinese Language,61/100,60/100
2024,Teo Wen Jie 338,Tao Nan School,P6-2,Foundation Chinese Language,80/100,78/100
2024,Sivakumar Raj 154,Catholic High School (Primary),P6-1,Higher Tamil Language,60/100,60/100
2023,Ahmad Hakim 178,Ai Tong School,P6-1,Higher Malay Language,55/100,60/100
2022,Arunasarawasthy 677,Rosyth School,P6-2,Higher Tamil Language,83/100,78/100
2023,Suresh S/O Raj 552,Gongshang Primary School,P6-1,Foundation Tamil Language,57/100,52/100
2024,Ahmad Hakim 218,West Grove Primary School,P6-1,Foundation Malay Language,60/100,58/100
2022,Chen Qi En 873,Anglo-Chinese School (Primary),P6-2,Higher Chinese Language,84/100,83/100
2022,Lakshmi D/O Kumar 341,Princess Elizabeth Primary School,P6-2,Foundation Tamil Language,73/100,77/100
2023,Karthik S/O Ramesh 423,Henry Park Primary School,P6-2,Tamil Language,50/100,49/100
2024,Hafiz Bin Rahman 209,Tao Nan School,P6-3,Higher Malay Language,53/100,51/100
2023,Goh Jun Wei 375,Catholic High School (Primary),P6-2,Higher Chinese Language,95/100,99/100
2024,Lakshmi D/O Kumar 196,Raffles Girls' Primary School,P6-1,Higher Tamil Language,89/100,86/100
2024,Karthik S/O Ramesh 988,Raffles Girls' Primary School,P6-1,Higher Tamil Language,70/100,70/100
2022,Mohammad Firdaus 901,Pei Hwa Presbyterian Primary School,P6-3,Malay Language,72/100,68/100
2024,Tan Wei Ling 839,Anglo-Chinese School (Primary),P6-2,Foundation Chinese Language,90/100,91/100
2022,Ahmad Hakim 440,Raffles Girls' Primary School,P6-2,Foundation Malay Language,82/100,77/100
2023,Arunasarawasthy 843,Temasek Primary School,P6-3,Foundation Tamil Language,95/100,100/100
2022,Suresh S/O Raj 648,Raffles Girls' Primary School,P6-2,Higher Tamil Language,50/100,47/100
2024,Lee Hui Min 324,Red Swastika School,P6-1,Foundation Chinese Language,56/100,53/100
2022,Aqil Zulkarnain 254,Gongshang Primary School,P6-1,Malay Language,88/100,90/100
2024,Lim Jia Hao 650,Ai Tong School,P6-1,Chinese Language,61/100,56/100
2024,Anand S/O Murugan 174,Gongshang Primary School,P6-3,Higher Tamil Language,54/100,57/100
2024,Arunasarawasthy 235,Rosyth School,P6-1,Tamil Language,82/100,84/100
2024,Ahmad Hakim 378,Maris Stella Primary School,P6-2,Higher Malay Language,73/100,73/100
2023,Mohammad Firdaus 546,Catholic High School (Primary),P6-3,Foundation Malay Language,78/100,79/100
2023,Hafiz Bin Rahman 939,Catholic High School (Primary),P6-2,Malay Language,74/100,77/100
2022,Muhd Irfan 171,Pei Chun Public School,P6-1,Higher Malay Language,92/100,90/100
2023,Deepa D/O Muthu 552,Anglo-Chinese School (Primary),P6-1,Foundation Tamil Language,73/100,68/100
2023,Sivakumar Raj 278,Pei Chun Public School,P6-3,Tamil Language,69/100,70/100
2024,Aqil Zulkarnain 594,Princess Elizabeth Primary School,P6-1,Foundation Malay Language,77/100,77/100
2024,Siti Aminah 198,Anglo-Chinese School (Primary),P6-2,Higher Malay Language,82/100,87/100
2022,Hafiz Bin Rahman 791,Nan Hua Primary School,P6-2,Foundation Malay Language,53/100,58/100
2024,Siti Aminah 479,Nanyang Primary School,P6-3,Higher Malay Language,88/100,85/100
2023,Mohammad Firdaus 139,Red Swastika School,P6-3,Malay Language,57/100,58/100
2022,Deepa D/O Muthu 981,St Joseph’s Institution Junior,P6-2,Tamil Language,95/100,98/100
2023,Imran Bin Azmi 385,Gongshang Primary School,P6-3,Malay Language,92/100,95/100
2022,Anand S/O Murugan 444,Nanyang Primary School,P6-2,Tamil Language,83/100,85/100
2024,Imran Bin Azmi 952,CHIJ St Nicholas Girls’ School,P6-1,Malay Language,78/100,79/100
2024,Wong Yu Ting 749,Maris Stella Primary School,P6-2,Foundation Chinese Language,51/100,55/100
2023,Chen Qi En 500,Catholic High School (Primary),P6-2,Higher Chinese Language,53/100,54/100
2024,Suresh S/O Raj 652,Anglo-Chinese School (Primary),P6-3,Tamil Language,93/100,89/100
2024,Teo Wen Jie 811,Nan Hua Primary School,P6-3,Higher Chinese Language,53/100,53/100
2023,Mohammad Firdaus 442,Yumin Primary School,P6-3,Foundation Malay Language,84/100,85/100
2022,Suresh S/O Raj 264,Red Swastika School,P6-1,Higher Tamil Language,77/100,74/100
2024,Mohammad Firdaus 564,Catholic High School (Primary),P6-1,Foundation Malay Language,69/100,69/100
2024,Lee Hui Min 267,Yumin Primary School,P6-2,Chinese Language,80/100,80/100
2022,Teo Wen Jie 466,Gongshang Primary School,P6-1,Chinese Language,92/100,91/100
2024,Ong Shu Fen 352,Henry Park Primary School,P6-1,Higher Chinese Language,67/100,66/100
2023,Ainul Zafira 529,Temasek Primary School,P6-1,Higher Malay Language,62/100,59/100
2024,Nur Aisyah 100,Red Swastika School,P6-2,Foundation Malay Language,70/100,66/100
2022,Suresh S/O Raj 618,Henry Park Primary School,P6-3,Higher Tamil Language,90/100,90/100
2023,Sivakumar Raj 701,Raffles Girls' Primary School,P6-1,Foundation Tamil Language,75/100,72/100
2022,Anand S/O Murugan 876,Red Swastika School,P6-3,Foundation Tamil Language,51/100,48/100
2024,Wong Yu Ting 961,Gongshang Primary School,P6-2,Higher Chinese Language,67/100,64/100
2024,Aqil Zulkarnain 134,Gongshang Primary School,P6-2,Malay Language,90/100,93/100
2023,Deepa D/O Muthu 256,Yumin Primary School,P6-3,Foundation Tamil Language,55/100,56/100
2024,Arunasarawasthy 165,Catholic High School (Primary),P6-3,Tamil Language,57/100,56/100
2022,Muhd Irfan 290,Pei Hwa Presbyterian Primary School,P6-2,Higher Malay Language,51/100,48/100
2023,Goh Jun Wei 796,West Grove Primary School,P6-3,Chinese Language,84/100,80/100
2023,Priya D/O Kumar 352,Ai Tong School,P6-3,Higher Tamil Language,93/100,94/100
2023,Ahmad Hakim 542,Raffles Girls' Primary School,P6-3,Higher Malay Language,67/100,68/100
2022,Hafiz Bin Rahman 322,Pei Hwa Presbyterian Primary School,P6-3,Higher Malay Language,89/100,89/100
2022,Muhd Irfan 306,Catholic High School (Primary),P6-3,Higher Malay Language,77/100,77/100
2023,Karthik S/O Ramesh 678,Henry Park Primary School,P6-3,Higher Tamil Language,90/100,93/100
2022,Muhd Irfan 867,Gongshang Primary School,P6-1,Higher Malay Language,95/100,99/100
2024,Siti Aminah 202,Pei Hwa Presbyterian Primary School,P6-1,Higher Malay Language,94/100,99/100
2022,Chua Kai Wen 471,Red Swastika School,P6-3,Foundation Chinese Language,75/100,77/100
2024,Priya D/O Kumar 881,Pei Hwa Presbyterian Primary School,P6-1,Tamil Language,92/100,88/100
2022,Siti Aminah 474,Catholic High School (Primary),P6-3,Higher Malay Language,67/100,70/100
2023,Goh Jun Wei 661,Maris Stella Primary School,P6-2,Foundation Chinese Language,94/100,93/100
2023,Tan Wei Ling 205,Rosyth School,P6-1,Foundation Chinese Language,62/100,67/100
2022,Goh Jun Wei 543,Anglo-Chinese School (Primary),P6-2,Foundation Chinese Language,81/100,85/100
2023,Deepa D/O Muthu 920,Gongshang Primary School,P6-3,Foundation Tamil Language,52/100,53/100
2024,Ng Zi Xuan 985,Temasek Primary School,P6-1,Foundation Chinese Language,67/100,70/100
2024,Sivakumar Raj 611,Princess Elizabeth Primary School,P6-3,Higher Tamil Language,75/100,78/100
2023,Muhd Irfan 994,Nanyang Primary School,P6-3,Higher Malay Language,59/100,54/100
2024,Meena D/O Ravi 297,St Joseph’s Institution Junior,P6-3,Higher Tamil Language,63/100,60/100
2024,Aqil Zulkarnain 712,West Grove Primary School,P6-2,Foundation Malay Language,55/100,59/100
2024,Mohammad Firdaus 290,Red Swastika School,P6-1,Foundation Malay Language,69/100,74/100
2024,Karthik S/O Ramesh 918,Anglo-Chinese School (Primary),P6-2,Tamil Language,92/100,91/100
2024,Deepa D/O Muthu 167,Catholic High School (Primary),P6-1,Tamil Language,70/100,69/100
2022,Anand S/O Murugan 691,Anglo-Chinese School (Primary),P6-3,Tamil Language,80/100,81/100
2022,Ong Shu Fen 368,Anglo-Chinese School (Primary),P6-1,Higher Chinese Language,50/100,46/100
2024,Priya D/O Kumar 482,West Grove Primary School,P6-1,Higher Tamil Language,85/100,82/100
2022,Ng Zi Xuan 504,West Grove Primary School,P6-1,Higher Chinese Language,83/100,78/100
2024,Ainul Zafira 721,Red Swastika School,P6-1,Malay Language,53/100,50/100
2023,Teo Wen Jie 246,Ai Tong School,P6-1,Higher Chinese Language,95/100,96/100
2024,Deepa D/O Muthu 410,Raffles Girls' Primary School,P6-1,Higher Tamil Language,53/100,57/100
2024,Karthik S/O Ramesh 410,Princess Elizabeth Primary School,P6-1,Foundation Tamil Language,64/100,59/100
2023,Lee Hui Min 259,Gongshang Primary School,P6-1,Higher Chinese Language,94/100,94/100
2022,Nurul Huda 987,Gongshang Primary School,P6-1,Foundation Malay Language,59/100,55/100
2023,Goh Jun Wei 851,Catholic High School (Primary),P6-1,Foundation Chinese Language,92/100,87/100
2022,Tan Wei Ling 658,Nanyang Primary School,P6-3,Foundation Chinese Language,71/100,67/100
2023,Mohammad Firdaus 501,Pei Chun Public School,P6-2,Malay Language,91/100,87/100
2022,Lim Jia Hao 603,Tao Nan School,P6-2,Higher Chinese Language,76/100,76/100
2022,Imran Bin Azmi 714,Raffles Girls' Primary School,P6-1,Higher Malay Language,92/100,88/100
2023,Meena D/O Ravi 853,Pei Hwa Presbyterian Primary School,P6-2,Higher Tamil Language,71/100,73/100
2022,Ahmad Hakim 746,Yumin Primary School,P6-2,Higher Malay Language,64/100,66/100
2022,Anand S/O Murugan 414,Anglo-Chinese School (Primary),P6-1,Higher Tamil Language,60/100,64/100
2023,Nur Aisyah 184,West Grove Primary School,P6-1,Malay Language,76/100,73/100
2024,Aqil Zulkarnain 912,Rosyth School,P6-1,Higher Malay Language,86/100,86/100
2024,Muhd Irfan 408,Gongshang Primary School,P6-2,Higher Malay Language,55/100,59/100
2022,Ong Shu Fen 753,Rosyth School,P6-1,Chinese Language,89/100,92/100
2024,Muhd Irfan 159,Maris Stella Primary School,P6-2,Malay Language,91/100,89/100
2023,Lakshmi D/O Kumar 260,West Grove Primary School,P6-2,Tamil Language,63/100,66/100
2024,Ahmad Hakim 591,Rosyth School,P6-2,Higher Malay Language,72/100,74/100
2023,Chen Qi En 534,Pei Chun Public School,P6-2,Higher Chinese Language,59/100,58/100
2024,Ahmad Hakim 281,Rosyth School,P6-3,Malay Language,92/100,92/100
2023,Nurul Huda 710,Henry Park Primary School,P6-2,Higher Malay Language,94/100,98/100
2022,Hafiz Bin Rahman 418,Tao Nan School,P6-3,Higher Malay Language,62/100,64/100
2024,Muhd Irfan 601,Temasek Primary School,P6-3,Malay Language,76/100,78/100
2023,Nurul Huda 612,Temasek Primary School,P6-1,Malay Language,51/100,55/100
2024,Lee Hui Min 596,Catholic High School (Primary),P6-1,Higher Chinese Language,61/100,56/100
2024,Aqil Zulkarnain 784,Gongshang Primary School,P6-3,Higher Malay Language,78/100,83/100
2024,Ahmad Hakim 836,Temasek Primary School,P6-1,Foundation Malay Language,82/100,80/100
2023,Muhd Irfan 486,Catholic High School (Primary),P6-3,Higher Malay Language,77/100,72/100
2023,Vignesh S/O Rajan 121,Gongshang Primary School,P6-2,Tamil Language,80/100,85/100
2024,Arunasarawasthy 816,Henry Park Primary School,P6-2,Foundation Tamil Language,82/100,80/100
2024,Mohammad Firdaus 383,Raffles Girls' Primary School,P6-1,Higher Malay Language,63/100,60/100
2024,Ahmad Hakim 779,Nan Hua Primary School,P6-3,Foundation Malay Language,69/100,65/100
2022,Karthik S/O Ramesh 878,CHIJ St Nicholas Girls’ School,P6-3,Tamil Language,77/100,79/100
2023,Siti Aminah 579,Gongshang Primary School,P6-2,Foundation Malay Language,94/100,90/100
2024,Lakshmi D/O Kumar 420,Yumin Primary School,P6-1,Higher Tamil Language,79/100,78/100
2024,Mohammad Firdaus 329,Red Swastika School,P6-1,Higher Malay Language,61/100,58/100
2022,Muhd Irfan 218,Catholic High School (Primary),P6-1,Foundation Malay Language,91/100,89/100
2024,Nur Aisyah 594,Pei Hwa Presbyterian Primary School,P6-1,Malay Language,72/100,69/100
2024,Chua Kai Wen 696,St Joseph’s Institution Junior,P6-1,Higher Chinese Language,92/100,97/100
2024,Arunasarawasthy 796,West Grove Primary School,P6-1,Tamil Language,92/100,95/100
2023,Hafiz Bin Rahman 757,West Grove Primary School,P6-2,Higher Malay Language,58/100,59/100
2024,Lakshmi D/O Kumar 183,Maris Stella Primary School,P6-1,Foundation Tamil Language,73/100,68/100
2023,Tan Wei Ling 744,Henry Park Primary School,P6-3,Foundation Chinese Language,74/100,71/100
2023,Lakshmi D/O Kumar 532,Maris Stella Primary School,P6-1,Higher Tamil Language,93/100,91/100
2023,Ng Zi Xuan 349,Pei Hwa Presbyterian Primary School,P6-2,Higher Chinese Language,90/100,95/100
2022,Sivakumar Raj 586,CHIJ St Nicholas Girls’ School,P6-1,Tamil Language,90/100,94/100
2024,Tan Wei Ling 234,Pei Chun Public School,P6-2,Foundation Chinese Language,95/100,90/100
2023,Imran Bin Azmi 521,Red Swastika School,P6-1,Foundation Malay Language,95/100,91/100
2023,Mohammad Firdaus 722,Temasek Primary School,P6-2,Foundation Malay Language,86/100,90/100
2022,Muhd Irfan 204,Red Swastika School,P6-3,Higher Malay Language,66/100,61/100
2024,Chen Qi En 476,Maris Stella Primary School,P6-2,Foundation Chinese Language,75/100,71/100
2022,Imran Bin Azmi 353,Princess Elizabeth Primary School,P6-2,Higher Malay Language,68/100,68/100
2022,Aqil Zulkarnain 923,Nanyang Primary School,P6-2,Higher Malay Language,88/100,91/100
2024,Ng Zi Xuan 196,Anglo-Chinese School (Primary),P6-1,Foundation Chinese Language,95/100,97/100
2023,Ng Zi Xuan 845,West Grove Primary School,P6-3,Chinese Language,54/100,57/100
2022,Anand S/O Murugan 521,West Grove Primary School,P6-2,Foundation Tamil Language,89/100,93/100
2022,Tan Wei Ling 207,Nanyang Primary School,P6-3,Chinese Language,87/100,86/100
2022,Meena D/O Ravi 517,Princess Elizabeth Primary School,P6-1,Higher Tamil Language,87/100,86/100
2023,Lakshmi D/O Kumar 738,Rosyth School,P6-2,Foundation Tamil Language,83/100,86/100
2023,Sivakumar Raj 549,Maris Stella Primary School,P6-1,Higher Tamil Language,56/100,55/100
2022,Hafiz Bin Rahman 544,Raffles Girls' Primary School,P6-3,Higher Malay Language,63/100,68/100
2024,Mohammad Firdaus 208,West Grove Primary School,P6-1,Higher Malay Language,67/100,70/100
2023,Ong Shu Fen 317,Pei Hwa Presbyterian Primary School,P6-2,Chinese Language,69/100,73/100
2024,Aqil Zulkarnain 737,Raffles Girls' Primary School,P6-3,Higher Malay Language,80/100,80/100
2023,Goh Jun Wei 759,Tao Nan School,P6-3,Chinese Language,70/100,73/100
2022,Deepa D/O Muthu 669,Princess Elizabeth Primary School,P6-2,Higher Tamil Language,83/100,79/100
2022,Meena D/O Ravi 293,Red Swastika School,P6-2,Foundation Tamil Language,75/100,78/100
2023,Ahmad Hakim 166,Red Swastika School,P6-3,Foundation Malay Language,78/100,77/100
2022,Tan Wei Ling 865,Pei Chun Public School,P6-3,Foundation Chinese Language,91/100,91/100
2023,Sivakumar Raj 675,Red Swastika School,P6-2,Tamil Language,50/100,55/100
2022,Priya D/O Kumar 274,Pei Hwa Presbyterian Primary School,P6-2,Tamil Language,77/100,73/100
2023,Mohammad Firdaus 708,CHIJ St Nicholas Girls’ School,P6-3,Malay Language,69/100,72/100
2023,Deepa D/O Muthu 992,Rosyth School,P6-2,Foundation Tamil Language,58/100,58/100
2023,Priya D/O Kumar 215,Pei Hwa Presbyterian Primary School,P6-1,Higher Tamil Language,78/100,79/100
2023,Imran Bin Azmi 428,Princess Elizabeth Primary School,P6-2,Foundation Malay Language,69/100,70/100
2023,Muhd Irfan 845,Catholic High School (Primary),P6-3,Malay Language,81/100,86/100
2022,Ng Zi Xuan 109,West Grove Primary School,P6-3,Foundation Chinese Language,53/100,48/100
2023,Ng Zi Xuan 841,Pei Hwa Presbyterian Primary School,P6-1,Foundation Chinese Language,71/100,72/100
2023,Meena D/O Ravi 773,Nanyang Primary School,P6-2,Tamil Language,81/100,81/100
2024,Hafiz Bin Rahman 697,Tao Nan School,P6-3,Malay Language,80/100,84/100
2024,Wong Yu Ting 445,Rosyth School,P6-2,Higher Chinese Language,78/100,82/100
2023,Karthik S/O Ramesh 392,Gongshang Primary School,P6-3,Higher Tamil Language,75/100,80/100
2024,Chua Kai Wen 440,Princess Elizabeth Primary School,P6-3,Foundation Chinese Language,90/100,85/100
2022,Teo Wen Jie 397,Nan Hua Primary School,P6-1,Higher Chinese Language,93/100,96/100
2022,Sivakumar Raj 556,Henry Park Primary School,P6-1,Foundation Tamil Language,66/100,67/100
2022,Ng Zi Xuan 240,Raffles Girls' Primary School,P6-1,Foundation Chinese Language,51/100,49/100
2024,Nur Aisyah 886,Nan Hua Primary School,P6-2,Foundation Malay Language,58/100,61/100
2023,Ahmad Hakim 175,Pei Hwa Presbyterian Primary School,P6-2,Higher Malay Language,51/100,52/100
2024,Ainul Zafira 177,Pei Hwa Presbyterian Primary School,P6-3,Malay Language,72/100,68/100
2024,Meena D/O Ravi 775,Pei Chun Public School,P6-3,Foundation Tamil Language,82/100,79/100
2022,Arunasarawasthy 320,Red Swastika School,P6-3,Foundation Tamil Language,68/100,69/100
2022,Mohammad Firdaus 770,Gongshang Primary School,P6-1,Foundation Malay Language,71/100,70/100
2023,Mohammad Firdaus 381,Raffles Girls' Primary School,P6-3,Higher Malay Language,69/100,69/100
2023,Tan Wei Ling 740,Nan Hua Primary School,P6-2,Foundation Chinese Language,79/100,81/100
2024,Lakshmi D/O Kumar 902,Nan Hua Primary School,P6-3,Foundation Tamil Language,56/100,53/100
2023,Ng Zi Xuan 322,St Joseph’s Institution Junior,P6-1,Chinese Language,75/100,72/100
2024,Karthik S/O Ramesh 614,St Joseph’s Institution Junior,P6-3,Tamil Language,66/100,69/100
2023,Lim Jia Hao 687,Catholic High School (Primary),P6-3,Foundation Chinese Language,76/100,77/100
2022,Ainul Zafira 734,CHIJ St Nicholas Girls’ School,P6-2,Foundation Malay Language,82/100,83/100
2022,Meena D/O Ravi 834,St Joseph’s Institution Junior,P6-1,Foundation Tamil Language,56/100,59/100
2022,Lee Hui Min 147,Maris Stella Primary School,P6-2,Chinese Language,59/100,61/100
2022,Ong Shu Fen 113,Henry Park Primary School,P6-3,Higher Chinese Language,54/100,54/100
2022,Goh Jun Wei 929,Red Swastika School,P6-1,Higher Chinese Language,83/100,83/100
2023,Vignesh S/O Rajan 243,St Joseph’s Institution Junior,P6-2,Higher Tamil Language,53/100,55/100
2024,Arunasarawasthy 370,Ai Tong School,P6-1,Foundation Tamil Language,75/100,79/100
2022,Tan Wei Ling 898,Ai Tong School,P6-3,Foundation Chinese Language,60/100,60/100
2024,Chen Qi En 615,Nanyang Primary School,P6-2,Higher Chinese Language,63/100,68/100
2023,Arunasarawasthy 809,Yumin Primary School,P6-1,Tamil Language,94/100,95/100
2023,Lim Jia Hao 274,Pei Chun Public School,P6-1,Foundation Chinese Language,55/100,59/100
2024,Chua Kai Wen 552,Nanyang Primary School,P6-3,Chinese Language,81/100,85/100
2023,Aqil Zulkarnain 676,CHIJ St Nicholas Girls’ School,P6-1,Foundation Malay Language,65/100,66/100
2022,Vignesh S/O Rajan 482,Henry Park Primary School,P6-3,Foundation Tamil Language,77/100,79/100
2024,Siti Aminah 535,Princess Elizabeth Primary School,P6-3,Malay Language,78/100,75/100
2023,Anand S/O Murugan 138,Red Swastika School,P6-1,Higher Tamil Language,71/100,74/100
2022,Suresh S/O Raj 856,Catholic High School (Primary),P6-2,Tamil Language,58/100,61/100
2023,Nurul Huda 358,Henry Park Primary School,P6-1,Foundation Malay Language,88/100,87/100
2022,Ng Zi Xuan 403,Catholic High School (Primary),P6-3,Higher Chinese Language,64/100,66/100
2022,Lim Jia Hao 285,Pei Chun Public School,P6-3,Foundation Chinese Language,53/100,56/100
2023,Lee Hui Min 705,Pei Hwa Presbyterian Primary School,P6-3,Foundation Chinese Language,82/100,78/100
2022,Arunasarawasthy 894,Henry Park Primary School,P6-3,Higher Tamil Language,82/100,85/100
2024,Nur Aisyah 334,Maris Stella Primary School,P6-3,Foundation Malay Language,95/100,95/100
2022,Meena D/O Ravi 368,Nan Hua Primary School,P6-3,Tamil Language,92/100,95/100
2023,Karthik S/O Ramesh 631,Rosyth School,P6-3,Tamil Language,75/100,75/100
2023,Wong Yu Ting 988,Temasek Primary School,P6-2,Higher Chinese Language,95/100,100/100
2024,Lakshmi D/O Kumar 517,West Grove Primary School,P6-1,Foundation Tamil Language,62/100,58/100
2023,Ainul Zafira 494,West Grove Primary School,P6-2,Higher Malay Language,63/100,67/100
2022,Vignesh S/O Rajan 142,Gongshang Primary School,P6-1,Tamil Language,85/100,89/100
2024,Hafiz Bin Rahman 852,Rosyth School,P6-2,Higher Malay Language,59/100,64/100
2022,Chen Qi En 248,Raffles Girls' Primary School,P6-3,Chinese Language,93/100,97/100
2023,Karthik S/O Ramesh 932,Maris Stella Primary School,P6-2,Foundation Tamil Language,69/100,73/100
2024,Deepa D/O Muthu 373,Ai Tong School,P6-1,Tamil Language,59/100,62/100
2023,Lim Jia Hao 274,Catholic High School (Primary),P6-3,Foundation Chinese Language,88/100,83/100
2023,Karthik S/O Ramesh 961,West Grove Primary School,P6-2,Tamil Language,89/100,90/100
2024,Ahmad Hakim 108,Anglo-Chinese School (Primary),P6-1,Malay Language,52/100,51/100
2023,Nurul Huda 213,Rosyth School,P6-3,Higher Malay Language,84/100,85/100
2023,Muhd Irfan 611,Henry Park Primary School,P6-2,Foundation Malay Language,76/100,78/100
2022,Meena D/O Ravi 991,Catholic High School (Primary),P6-2,Higher Tamil Language,56/100,54/100
2023,Ahmad Hakim 304,Nanyang Primary School,P6-3,Malay Language,91/100,90/100
2022,Sivakumar Raj 697,Princess Elizabeth Primary School,P6-3,Foundation Tamil Language,53/100,50/100
2023,Mohammad Firdaus 623,Temasek Primary School,P6-3,Higher Malay Language,88/100,86/100
2024,Arunasarawasthy 502,St Joseph’s Institution Junior,P6-2,Foundation Tamil Language,91/100,96/100
2024,Goh Jun Wei 646,Tao Nan School,P6-3,Higher Chinese Language,83/100,81/100
2022,Arunasarawasthy 672,Princess Elizabeth Primary School,P6-1,Foundation Tamil Language,71/100,72/100
2024,Anand S/O Murugan 566,Raffles Girls' Primary School,P6-1,Tamil Language,71/100,73/100
2024,Imran Bin Azmi 657,Nanyang Primary School,P6-1,Malay Language,91/100,95/100
2024,Tan Wei Ling 339,Gongshang Primary School,P6-2,Chinese Language,84/100,81/100
2024,Imran Bin Azmi 899,Maris Stella Primary School,P6-3,Higher Malay Language,89/100,92/100
2024,Suresh S/O Raj 333,Red Swastika School,P6-3,Foundation Tamil Language,73/100,71/100
2022,Lakshmi D/O Kumar 235,Anglo-Chinese School (Primary),P6-3,Tamil Language,81/100,80/100
2023,Nurul Huda 215,Pei Chun Public School,P6-3,Higher Malay Language,76/100,75/100
2023,Chen Qi En 137,West Grove Primary School,P6-3,Higher Chinese Language,83/100,87/100
2022,Teo Wen Jie 524,Temasek Primary School,P6-3,Chinese Language,57/100,53/100
2023,Imran Bin Azmi 775,Maris Stella Primary School,P6-2,Malay Language,58/100,59/100
2024,Siti Aminah 964,Princess Elizabeth Primary School,P6-2,Foundation Malay Language,63/100,68/100
2022,Vignesh S/O Rajan 476,Tao Nan School,P6-3,Tamil Language,75/100,78/100
2023,Vignesh S/O Rajan 704,Henry Park Primary School,P6-3,Higher Tamil Language,56/100,57/100
2024,Tan Wei Ling 444,Ai Tong School,P6-3,Chinese Language,53/100,54/100
2023,Teo Wen Jie 788,West Grove Primary School,P6-1,Higher Chinese Language,64/100,67/100
2022,Ainul Zafira 343,Nanyang Primary School,P6-3,Malay Language,53/100,48/100
2023,Nur Aisyah 550,Catholic High School (Primary),P6-1,Malay Language,86/100,91/100
2024,Hafiz Bin Rahman 499,St Joseph’s Institution Junior,P6-1,Higher Malay Language,69/100,74/100
2023,Mohammad Firdaus 474,Red Swastika School,P6-3,Higher Malay Language,93/100,95/100
2023,Muhd Irfan 760,Pei Chun Public School,P6-1,Malay Language,59/100,62/100
2022,Tan Wei Ling 896,Rosyth School,P6-1,Higher Chinese Language,71/100,68/100
2024,Priya D/O Kumar 989,Nanyang Primary School,P6-1,Foundation Tamil Language,73/100,70/100
2022,Wong Yu Ting 550,Nanyang Primary School,P6-2,Chinese Language,62/100,59/100
2023,Mohammad Firdaus 438,Anglo-Chinese School (Primary),P6-3,Higher Malay Language,67/100,66/100
2022,Goh Jun Wei 493,CHIJ St Nicholas Girls’ School,P6-2,Chinese Language,90/100,88/100
2024,Ong Shu Fen 249,Anglo-Chinese School (Primary),P6-1,Foundation Chinese Language,62/100,64/100
2022,Deepa D/O Muthu 337,West Grove Primary School,P6-1,Foundation Tamil Language,70/100,68/100
2023,Aqil Zulkarnain 164,Henry Park Primary School,P6-1,Higher Malay Language,79/100,84/100
2024,Ng Zi Xuan 238,Ai Tong School,P6-3,Chinese Language,53/100,55/100
2023,Ainul Zafira 258,Henry Park Primary School,P6-3,Foundation Malay Language,85/100,82/100
2024,Deepa D/O Muthu 448,Red Swastika School,P6-3,Tamil Language,93/100,98/100
2023,Nur Aisyah 693,Pei Chun Public School,P6-1,Malay Language,84/100,80/100
2024,Priya D/O Kumar 142,Yumin Primary School,P6-3,Higher Tamil Language,93/100,95/100
2024,Nur Aisyah 257,Anglo-Chinese School (Primary),P6-2,Higher Malay Language,56/100,51/100
2022,Teo Wen Jie 874,Raffles Girls' Primary School,P6-3,Higher Chinese Language,78/100,82/100
2022,Ng Zi Xuan 258,Rosyth School,P6-2,Chinese Language,59/100,56/100
2022,Ng Zi Xuan 839,Henry Park Primary School,P6-3,Foundation Chinese Language,85/100,89/100
2023,Chen Qi En 453,Henry Park Primary School,P6-3,Chinese Language,70/100,65/100
2022,Chen Qi En 978,Pei Chun Public School,P6-2,Foundation Chinese Language,58/100,60/100
2023,Ong Shu Fen 164,Gongshang Primary School,P6-3,Chinese Language,79/100,83/100
2024,Muhd Irfan 276,Rosyth School,P6-3,Higher Malay Language,93/100,92/100
2024,Priya D/O Kumar 230,Yumin Primary School,P6-3,Tamil Language,55/100,60/100
2023,Ainul Zafira 480,Catholic High School (Primary),P6-3,Higher Malay Language,88/100,93/100
2024,Siti Aminah 400,Princess Elizabeth Primary School,P6-1,Higher Malay Language,81/100,84/100
2022,Teo Wen Jie 733,Nanyang Primary School,P6-2,Higher Chinese Language,56/100,54/100
2022,Chen Qi En 907,Catholic High School (Primary),P6-3,Chinese Language,76/100,77/100
2024,Siti Aminah 278,St Joseph’s Institution Junior,P6-3,Foundation Malay Language,70/100,66/100
2023,Ainul Zafira 152,St Joseph’s Institution Junior,P6-3,Malay Language,81/100,84/100
2022,Tan Wei Ling 529,West Grove Primary School,P6-3,Foundation Chinese Language,51/100,51/100
2022,Priya D/O Kumar 576,Temasek Primary School,P6-3,Higher Tamil Language,82/100,86/100
2022,Sivakumar Raj 427,Raffles Girls' Primary School,P6-1,Foundation Tamil Language,63/100,58/100
2024,Imran Bin Azmi 143,Nanyang Primary School,P6-1,Malay Language,95/100,98/100
