School,Student_ID,Name,Class,Gender,Date,Status,Reason,Absent
Victoria School,S3281,Jayden Ho,Sec4-3,M,2025-04-06,Absent,Truancy,1
Bedok Green Secondary School,S3282,Gabriel Chua,Sec5-1,M,2022-11-28,Absent,Truancy,1
Cedar Girls' Secondary School,S3283,Benjamin Lee,Sec5-3,F,2024-02-09,Present,,0
Bedok Green Secondary School,S3284,Adele Lim,Sec1-2,F,2023-11-23,Absent,Truancy,1
Kent Ridge Secondary School,S3285,Lucas Tan,Sec1-2,M,2023-12-01,Present,,0
Anderson Secondary School,S3286,Ethan Ng,Sec4-4,F,2025-08-15,Present,,0
Maris Stella High School,S3287,Ethan Ng,Sec2-2,F,2022-09-07,Present,,0
Presbyterian High School,S3288,Marcus Teo,Sec2-3,M,2023-12-10,Present,,0
Peicai Secondary School,S3289,Grace Lim,Sec1-3,F,2023-01-16,Absent,Unknown,1
Compassvale Secondary School,S3290,Jayden Ho,Sec5-1,M,2025-05-10,Present,,0
Bukit Merah Secondary School,S3291,Benjamin Lee,Sec2-4,M,2023-11-08,Late,,0
Dunman High School,S3292,Ella Chua,Sec1-3,M,2023-01-19,Present,,0
Jurong Secondary School,S3293,Charlotte Ng,Sec5-4,F,2022-09-11,Late,,0
Singapore Chinese Girls' School,S3294,Ella Chua,Sec2-4,F,2023-04-15,Present,,0
Fairfield Methodist Secondary School,S3295,Charlotte Ng,Sec2-1,M,2022-03-02,Present,,0
Zhonghua Secondary School,S3296,Aaron Tan,Sec5-1,M,2023-08-13,Absent,Unknown,1
CHIJ Katong Convent,S3297,Ella Chua,Sec5-4,F,2024-12-27,Present,,0
Singapore Chinese Girls' School,S3298,Faith Goh,Sec5-3,M,2022-03-10,Present,,0
Yishun Town Secondary School,S3299,Daniel Ong,Sec1-4,M,2025-09-25,Present,,0
Temasek Secondary School,S3300,Adele Lim,Sec2-3,F,2022-01-03,Absent,Truancy,1
Zhonghua Secondary School,S3301,Hannah Ong,Sec1-4,F,2023-07-10,Present,,0
Dunman High School,S3302,Marcus Teo,Sec1-3,M,2022-06-24,Absent,Unknown,1
Anglican High School,S3303,Marcus Teo,Sec2-2,M,2022-12-04,Present,,0
Maris Stella High School,S3304,Gabriel Chua,Sec1-4,F,2025-08-22,Present,,0
Nan Chiau High School,S3305,Marcus Teo,Sec4-3,F,2022-08-21,Absent,Truancy,1
Anglican High School,S3306,Daphne Lee,Sec2-2,F,2022-10-18,Present,,0
Maris Stella High School,S3307,Aaron Tan,Sec3-3,F,2022-01-26,Absent,Family Matter,1
CHIJ Katong Convent,S3308,Charlotte Ng,Sec2-4,M,2024-02-14,Present,,0
Dunman High School,S3309,Jayden Ho,Sec2-1,M,2023-11-01,Present,,0
Clementi Town Secondary School,S3310,Aaron Tan,Sec4-3,M,2023-07-18,Absent,Truancy,1
Anglican High School,S3311,Charlotte Ng,Sec4-4,M,2023-10-20,Absent,Unknown,1
Victoria School,S3312,Hannah Ong,Sec4-3,F,2023-02-17,Absent,Truancy,1
St. Andrew's Secondary School,S3313,Daniel Ong,Sec5-3,F,2023-09-24,Absent,Truancy,1
Zhonghua Secondary School,S3314,Isabelle Ho,Sec2-3,F,2023-04-17,Present,,0
Compassvale Secondary School,S3315,Charlotte Ng,Sec4-1,F,2025-04-16,Absent,Medical Leave,1
Bukit Merah Secondary School,S3316,Faith Goh,Sec3-1,F,2022-10-05,Present,,0
Anglican High School,S3317,Adele Lim,Sec4-1,F,2024-11-13,Present,,0
CHIJ Katong Convent,S3318,Caleb Lim,Sec3-3,M,2023-12-04,Present,,0
Maris Stella High School,S3319,Grace Lim,Sec2-4,F,2023-02-02,Absent,Truancy,1
Clementi Town Secondary School,S3320,Jasmine Tan,Sec2-1,F,2023-05-03,Present,,0
Cedar Girls' Secondary School,S3321,Ethan Ng,Sec3-2,M,2023-11-16,Late,,0
Clementi Town Secondary School,S3322,Charlotte Ng,Sec3-1,F,2025-02-12,Absent,Truancy,1
Cedar Girls' Secondary School,S3323,Gabriel Chua,Sec4-3,F,2022-11-13,Absent,Medical Leave,1
Dunman High School,S3324,Daniel Ong,Sec2-4,F,2024-12-12,Present,,0
Peicai Secondary School,S3325,Ella Chua,Sec2-2,M,2022-12-06,Present,,0
Nan Chiau High School,S3326,Charlotte Ng,Sec5-4,F,2022-11-12,Absent,Unknown,1
Holy Innocents' High School,S3327,Daphne Lee,Sec5-4,M,2022-10-26,Present,,0
St. Andrew's Secondary School,S3328,Ethan Ng,Sec5-4,F,2025-08-23,Present,,0
St. Patrick's School,S3329,Benjamin Lee,Sec1-4,F,2023-11-03,Present,,0
Cedar Girls' Secondary School,S3330,Marcus Teo,Sec3-2,M,2025-01-15,Absent,Medical Leave,1
Holy Innocents' High School,S3331,Benjamin Lee,Sec5-2,M,2025-02-26,Present,,0
Kent Ridge Secondary School,S3332,Ella Chua,Sec5-3,F,2025-06-15,Absent,MC,1
Dunman High School,S3333,Gabriel Chua,Sec5-2,M,2022-07-17,Absent,Truancy,1
Kent Ridge Secondary School,S3334,Lucas Tan,Sec1-1,M,2023-01-11,Present,,0
CHIJ Katong Convent,S3335,Gabriel Chua,Sec1-3,F,2024-03-03,Present,,0
Regent Secondary School,S3336,Ella Chua,Sec3-3,M,2024-06-24,Present,,0
St. Patrick's School,S3337,Grace Lim,Sec3-4,F,2025-06-05,Present,,0
Anderson Secondary School,S3338,Adele Lim,Sec3-3,F,2024-09-25,Absent,Truancy,1
Holy Innocents' High School,S3339,Hannah Ong,Sec5-1,F,2025-01-21,Present,,0
St. Patrick's School,S3340,Daphne Lee,Sec1-3,F,2024-12-20,Present,,0
Bedok Green Secondary School,S3341,Faith Goh,Sec2-1,F,2022-05-24,Present,,0
Presbyterian High School,S3342,Hannah Ong,Sec5-4,F,2024-05-30,Absent,Truancy,1
Maris Stella High School,S3343,Gabriel Chua,Sec3-3,M,2022-03-21,Present,,0
Regent Secondary School,S3344,Daphne Lee,Sec3-1,M,2023-04-15,Present,,0
Presbyterian High School,S3345,Lucas Tan,Sec3-2,M,2023-06-26,Present,,0
Dunman High School,S3346,Lucas Tan,Sec4-4,F,2022-12-15,Present,,0
Bedok Green Secondary School,S3347,Isaac Koh,Sec1-1,F,2024-07-09,Present,,0
Springfield Secondary School,S3348,Ella Chua,Sec4-2,M,2025-02-27,Present,,0
Gan Eng Seng School,S3349,Jayden Ho,Sec1-4,F,2024-09-19,Present,,0
Peicai Secondary School,S3350,Gabriel Chua,Sec3-2,M,2024-12-31,Late,,0
Clementi Town Secondary School,S3351,Grace Lim,Sec2-2,M,2023-02-07,Absent,Truancy,1
Gan Eng Seng School,S3352,Isaac Koh,Sec1-2,F,2025-06-14,Absent,Truancy,1
Zhonghua Secondary School,S3353,Gabriel Chua,Sec2-2,F,2023-01-25,Present,,0
Nan Chiau High School,S3354,Jayden Ho,Sec3-3,F,2023-04-15,Present,,0
St. Patrick's School,S3355,Marcus Teo,Sec1-4,M,2024-08-16,Present,,0
Peicai Secondary School,S3356,Lucas Tan,Sec5-3,F,2023-01-13,Present,,0
Anglican High School,S3357,Adele Lim,Sec5-2,M,2024-12-08,Late,,0
Yishun Town Secondary School,S3358,Caleb Lim,Sec5-4,M,2024-05-12,Absent,Unknown,1
Singapore Chinese Girls' School,S3359,Ethan Ng,Sec5-4,M,2022-06-15,Absent,Truancy,1
Cedar Girls' Secondary School,S3360,Hannah Ong,Sec4-2,M,2023-07-14,Present,,0
Compassvale Secondary School,S3361,Isaac Koh,Sec2-4,F,2024-05-02,Present,,0
Cedar Girls' Secondary School,S3362,Jasmine Tan,Sec2-1,F,2023-08-28,Absent,Truancy,1
Compassvale Secondary School,S3363,Lucas Tan,Sec2-3,F,2024-08-14,Present,,0
Anglican High School,S3364,Daniel Ong,Sec1-4,F,2024-10-07,Present,,0
Anglican High School,S3365,Ethan Ng,Sec5-2,M,2022-11-23,Present,,0
Gan Eng Seng School,S3366,Charlotte Ng,Sec5-3,M,2025-01-01,Present,,0
Victoria School,S3367,Caleb Lim,Sec3-4,F,2022-02-01,Absent,Truancy,1
Peicai Secondary School,S3368,Lucas Tan,Sec2-2,M,2023-07-18,Present,,0
Fairfield Methodist Secondary School,S3369,Grace Lim,Sec1-2,M,2023-09-08,Late,,0
Kent Ridge Secondary School,S3370,Jayden Ho,Sec1-3,M,2023-06-23,Present,,0
Bedok Green Secondary School,S3371,Benjamin Lee,Sec1-2,M,2025-01-18,Present,,0
Fairfield Methodist Secondary School,S3372,Grace Lim,Sec5-3,F,2022-02-10,Present,,0
Gan Eng Seng School,S3373,Benjamin Lee,Sec4-4,M,2023-10-16,Present,,0
Yishun Town Secondary School,S3374,Ethan Ng,Sec3-2,M,2023-04-02,Present,,0
Regent Secondary School,S3375,Faith Goh,Sec5-1,M,2022-02-27,Absent,Family Matter,1
Kent Ridge Secondary School,S3376,Marcus Teo,Sec2-2,F,2024-11-05,Absent,Family Matter,1
Bukit Merah Secondary School,S3377,Daniel Ong,Sec5-2,F,2022-09-02,Present,,0
Fairfield Methodist Secondary School,S3378,Lucas Tan,Sec2-1,M,2022-09-15,Present,,0
Gan Eng Seng School,S3379,Grace Lim,Sec4-3,F,2022-11-22,Present,,0
Anglican High School,S3380,Jasmine Tan,Sec1-3,M,2025-02-25,Present,,0
Nan Chiau High School,S3381,Caleb Lim,Sec4-4,F,2024-09-13,Present,,0
Victoria School,S3382,Adele Lim,Sec3-3,F,2025-10-08,Present,,0
Dunman High School,S3383,Daphne Lee,Sec1-1,M,2023-11-21,Present,,0
Anglican High School,S3384,Hannah Ong,Sec3-2,F,2022-02-27,Present,,0
Hougang Secondary School,S3385,Isaac Koh,Sec3-3,M,2022-08-27,Late,,0
Cedar Girls' Secondary School,S3386,Marcus Teo,Sec5-4,F,2024-02-05,Late,,0
Victoria School,S3387,Grace Lim,Sec5-1,M,2023-01-08,Present,,0
Bukit Merah Secondary School,S3388,Ethan Ng,Sec4-1,M,2023-08-19,Present,,0
Presbyterian High School,S3389,Daphne Lee,Sec5-2,M,2024-02-23,Present,,0
Springfield Secondary School,S3390,Ethan Ng,Sec5-2,F,2023-08-16,Absent,Truancy,1
Jurong Secondary School,S3391,Aaron Tan,Sec2-2,M,2023-12-16,Present,,0
Jurong Secondary School,S3392,Faith Goh,Sec4-3,M,2022-12-17,Present,,0
Cedar Girls' Secondary School,S3393,Benjamin Lee,Sec4-4,M,2024-09-04,Present,,0
Victoria School,S3394,Gabriel Chua,Sec5-2,F,2022-08-27,Present,,0
Victoria School,S3395,Faith Goh,Sec3-4,F,2024-06-27,Absent,Unknown,1
Yishun Town Secondary School,S3396,Lucas Tan,Sec2-2,M,2024-11-10,Present,,0
Maris Stella High School,S3397,Jasmine Tan,Sec5-2,M,2025-03-18,Absent,Other,1
Presbyterian High School,S3398,Gabriel Chua,Sec5-3,F,2023-08-17,Present,,0
Victoria School,S3399,Caleb Lim,Sec2-3,F,2023-12-23,Absent,Truancy,1
Anglican High School,S3400,Ella Chua,Sec4-2,F,2022-03-28,Present,,0
Peicai Secondary School,S3401,Jayden Ho,Sec2-2,M,2024-09-11,Present,,0
Cedar Girls' Secondary School,S3402,Isaac Koh,Sec3-4,F,2023-10-18,Absent,Truancy,1
Springfield Secondary School,S3403,Daniel Ong,Sec5-2,F,2024-03-04,Present,,0
Dunman High School,S3404,Marcus Teo,Sec1-2,M,2022-09-24,Present,,0
Dunman High School,S3405,Aaron Tan,Sec1-3,M,2024-05-30,Absent,Truancy,1
Temasek Secondary School,S3406,Jayden Ho,Sec4-4,F,2022-09-06,Present,,0
Anderson Secondary School,S3407,Isabelle Ho,Sec1-2,M,2024-06-30,Present,,0
Clementi Town Secondary School,S3408,Isabelle Ho,Sec2-3,F,2023-07-01,Present,,0
Gan Eng Seng School,S3409,Gabriel Chua,Sec2-1,M,2022-05-11,Present,,0
Yishun Town Secondary School,S3410,Gabriel Chua,Sec5-3,F,2025-06-23,Present,,0
Maris Stella High School,S3411,Caleb Lim,Sec2-2,M,2023-03-02,Absent,Medical Leave,1
Singapore Chinese Girls' School,S3412,Daniel Ong,Sec5-2,M,2025-02-03,Present,,0
Bukit Merah Secondary School,S3413,Ethan Ng,Sec1-2,M,2022-07-05,Absent,Truancy,1
Nan Chiau High School,S3414,Marcus Teo,Sec5-3,M,2022-05-08,Present,,0
CHIJ Katong Convent,S3415,Jayden Ho,Sec2-4,M,2022-09-10,Absent,Truancy,1
Nan Chiau High School,S3416,Charlotte Ng,Sec1-1,F,2025-06-11,Present,,0
Gan Eng Seng School,S3417,Adele Lim,Sec2-3,M,2022-12-27,Present,,0
Singapore Chinese Girls' School,S3418,Lucas Tan,Sec5-3,M,2023-10-13,Absent,Medical Leave,1
Temasek Secondary School,S3419,Charlotte Ng,Sec5-4,M,2024-01-06,Absent,Sick,1
Compassvale Secondary School,S3420,Daphne Lee,Sec5-3,M,2022-01-07,Present,,0
Nan Chiau High School,S3421,Caleb Lim,Sec5-2,F,2022-06-26,Present,,0
Cedar Girls' Secondary School,S3422,Hannah Ong,Sec3-1,F,2023-10-07,Present,,0
Holy Innocents' High School,S3423,Marcus Teo,Sec4-1,F,2022-07-15,Present,,0
Cedar Girls' Secondary School,S3424,Gabriel Chua,Sec1-4,F,2025-05-21,Late,,0
Jurong Secondary School,S3425,Jasmine Tan,Sec5-3,M,2024-06-29,Absent,Truancy,1
Singapore Chinese Girls' School,S3426,Benjamin Lee,Sec5-3,M,2022-11-06,Present,,0
Fairfield Methodist Secondary School,S3427,Lucas Tan,Sec4-2,F,2022-11-30,Present,,0
Compassvale Secondary School,S3428,Caleb Lim,Sec3-4,M,2024-01-24,Absent,Truancy,1
Compassvale Secondary School,S3429,Daphne Lee,Sec4-2,M,2023-10-14,Absent,Truancy,1
Fairfield Methodist Secondary School,S3430,Bella Tan,Sec3-1,F,2022-12-22,Present,,0
Bukit Merah Secondary School,S3431,Isaac Koh,Sec2-3,M,2024-07-30,Absent,MC,1
Anderson Secondary School,S3432,Hannah Ong,Sec5-4,M,2022-01-23,Absent,Truancy,1
Gan Eng Seng School,S3433,Aaron Tan,Sec5-4,M,2025-08-24,Present,,0
Bukit Merah Secondary School,S3434,Daniel Ong,Sec3-3,F,2024-01-18,Present,,0
Cedar Girls' Secondary School,S3435,Daniel Ong,Sec3-2,M,2023-09-09,Present,,0
CHIJ Katong Convent,S3436,Daphne Lee,Sec1-1,F,2023-01-14,Present,,0
Bukit Merah Secondary School,S3437,Benjamin Lee,Sec2-2,M,2023-12-08,Present,,0
Yishun Town Secondary School,S3438,Jasmine Tan,Sec1-3,F,2023-05-16,Present,,0
Gan Eng Seng School,S3439,Ethan Ng,Sec5-2,M,2022-03-25,Present,,0
Yishun Town Secondary School,S3440,Jayden Ho,Sec1-1,F,2023-02-20,Present,,0
Presbyterian High School,S3441,Daniel Ong,Sec5-4,F,2022-12-22,Present,,0
Presbyterian High School,S3442,Daphne Lee,Sec3-3,F,2025-02-10,Present,,0
Compassvale Secondary School,S3443,Jayden Ho,Sec4-4,F,2022-10-04,Present,,0
Nan Chiau High School,S3444,Gabriel Chua,Sec4-2,M,2022-09-10,Present,,0
Bedok Green Secondary School,S3445,Jayden Ho,Sec2-3,F,2022-03-02,Present,,0
Cedar Girls' Secondary School,S3446,Gabriel Chua,Sec2-4,M,2023-01-16,Present,,0
Temasek Secondary School,S3447,Gabriel Chua,Sec2-3,F,2023-08-26,Present,,0
Cedar Girls' Secondary School,S3448,Grace Lim,Sec5-1,M,2024-02-16,Present,,0
Victoria School,S3449,Aaron Tan,Sec2-1,M,2022-10-23,Present,,0
Victoria School,S3450,Isaac Koh,Sec3-3,F,2024-11-26,Present,,0
Temasek Secondary School,S3451,Isaac Koh,Sec1-1,F,2023-04-22,Present,,0
Zhonghua Secondary School,S3452,Jasmine Tan,Sec3-1,M,2023-10-26,Present,,0
Compassvale Secondary School,S3453,Daniel Ong,Sec2-4,F,2024-11-10,Present,,0
Clementi Town Secondary School,S3454,Adele Lim,Sec5-2,M,2024-03-15,Present,,0
Temasek Secondary School,S3455,Isabelle Ho,Sec5-1,M,2022-03-08,Present,,0
Cedar Girls' Secondary School,S3456,Bella Tan,Sec1-4,F,2023-02-03,Absent,Other,1
Anderson Secondary School,S3457,Bella Tan,Sec1-4,F,2023-02-28,Present,,0
Cedar Girls' Secondary School,S3458,Adele Lim,Sec2-3,F,2023-06-12,Present,,0
Yishun Town Secondary School,S3459,Ella Chua,Sec1-3,F,2025-09-20,Absent,Truancy,1
Springfield Secondary School,S3460,Daniel Ong,Sec1-4,M,2022-09-04,Present,,0
Anglican High School,S3461,Adele Lim,Sec3-2,M,2024-09-27,Present,,0
Bedok Green Secondary School,S3462,Charlotte Ng,Sec3-1,M,2022-05-24,Late,,0
Maris Stella High School,S3463,Isaac Koh,Sec5-3,F,2023-03-31,Present,,0
Peicai Secondary School,S3464,Adele Lim,Sec3-3,F,2023-03-26,Present,,0
St. Patrick's School,S3465,Faith Goh,Sec3-2,F,2025-10-11,Present,,0
Anderson Secondary School,S3466,Caleb Lim,Sec2-2,M,2024-05-22,Absent,Truancy,1
Compassvale Secondary School,S3467,Aaron Tan,Sec2-4,M,2025-04-11,Present,,0
Dunman High School,S3468,Caleb Lim,Sec5-1,M,2025-06-18,Present,,0
Kent Ridge Secondary School,S3469,Marcus Teo,Sec2-3,F,2022-10-07,Present,,0
Presbyterian High School,S3470,Daphne Lee,Sec3-2,M,2023-05-24,Present,,0
Hougang Secondary School,S3471,Ethan Ng,Sec1-3,M,2024-11-06,Absent,Unknown,1
Dunman High School,S3472,Jayden Ho,Sec1-3,M,2024-04-20,Present,,0
Holy Innocents' High School,S3473,Charlotte Ng,Sec1-4,F,2024-04-26,Present,,0
Compassvale Secondary School,S3474,Jayden Ho,Sec4-3,M,2022-04-20,Present,,0
Cedar Girls' Secondary School,S3475,Adele Lim,Sec2-1,F,2025-10-17,Present,,0
Bukit Merah Secondary School,S3476,Gabriel Chua,Sec2-4,M,2024-08-17,Absent,Unknown,1
Springfield Secondary School,S3477,Aaron Tan,Sec3-1,F,2023-11-14,Present,,0
Regent Secondary School,S3478,Bella Tan,Sec2-4,F,2024-06-12,Absent,Truancy,1
St. Patrick's School,S3479,Ethan Ng,Sec1-2,M,2023-03-30,Absent,Medical Leave,1
St. Andrew's Secondary School,S3480,Ella Chua,Sec1-3,F,2024-08-12,Present,,0
Peicai Secondary School,S3481,Isaac Koh,Sec3-3,F,2024-10-06,Present,,0
St. Andrew's Secondary School,S3482,Marcus Teo,Sec5-4,F,2025-09-01,Absent,Truancy,1
St. Andrew's Secondary School,S3483,Daphne Lee,Sec2-4,F,2025-01-13,Absent,Sick,1
Anderson Secondary School,S3484,Ethan Ng,Sec2-4,M,2024-11-11,Absent,Family Matter,1
Bedok Green Secondary School,S3485,Daniel Ong,Sec5-2,M,2024-11-01,Present,,0
Hougang Secondary School,S3486,Hannah Ong,Sec3-4,F,2025-01-27,Present,,0
St. Patrick's School,S3487,Isabelle Ho,Sec1-4,M,2022-06-04,Absent,Medical Leave,1
Temasek Secondary School,S3488,Daphne Lee,Sec1-4,M,2024-04-24,Absent,Truancy,1
Maris Stella High School,S3489,Gabriel Chua,Sec4-3,F,2023-08-09,Absent,Truancy,1
Anglican High School,S3490,Ella Chua,Sec2-2,M,2024-11-02,Present,,0
Anglican High School,S3491,Ella Chua,Sec2-3,M,2024-08-06,Present,,0
Fairfield Methodist Secondary School,S3492,Daniel Ong,Sec1-4,M,2024-03-08,Absent,Truancy,1
Peicai Secondary School,S3493,Grace Lim,Sec3-3,M,2024-04-26,Present,,0
Kent Ridge Secondary School,S3494,Caleb Lim,Sec5-4,F,2025-06-30,Late,,0
Anglican High School,S3495,Ella Chua,Sec1-3,F,2022-06-28,Present,,0
Dunman High School,S3496,Grace Lim,Sec5-1,M,2022-12-06,Absent,Sick,1
Anglican High School,S3497,Lucas Tan,Sec1-3,F,2023-02-08,Present,,0
Presbyterian High School,S3498,Caleb Lim,Sec2-2,F,2023-12-21,Present,,0
Anglican High School,S3499,Ethan Ng,Sec3-2,F,2024-03-16,Present,,0
Bukit Merah Secondary School,S3500,Adele Lim,Sec2-3,M,2024-12-03,Present,,0
Zhonghua Secondary School,S3501,Isabelle Ho,Sec1-3,F,2024-10-09,Absent,MC,1
St. Andrew's Secondary School,S3502,Jasmine Tan,Sec4-4,F,2025-09-24,Present,,0
Regent Secondary School,S3503,Daphne Lee,Sec3-4,F,2024-10-07,Present,,0
Clementi Town Secondary School,S3504,Adele Lim,Sec1-1,M,2022-02-27,Absent,Truancy,1
CHIJ Katong Convent,S3505,Hannah Ong,Sec3-1,F,2023-02-21,Present,,0
Presbyterian High School,S3506,Charlotte Ng,Sec3-3,M,2022-02-28,Present,,0
Kent Ridge Secondary School,S3507,Benjamin Lee,Sec4-4,F,2024-08-03,Absent,Sick,1
Maris Stella High School,S3508,Isabelle Ho,Sec3-1,M,2025-09-08,Absent,MC,1
Regent Secondary School,S3509,Charlotte Ng,Sec3-1,F,2024-05-16,Absent,Sick,1
Clementi Town Secondary School,S3510,Ethan Ng,Sec3-4,F,2024-01-20,Absent,Truancy,1
Maris Stella High School,S3511,Gabriel Chua,Sec1-3,F,2023-07-11,Present,,0
Hougang Secondary School,S3512,Daphne Lee,Sec3-1,M,2024-05-13,Present,,0
Singapore Chinese Girls' School,S3513,Gabriel Chua,Sec1-4,M,2022-09-28,Present,,0
CHIJ Katong Convent,S3514,Caleb Lim,Sec3-1,M,2023-12-10,Present,,0
Springfield Secondary School,S3515,Ethan Ng,Sec3-1,F,2025-03-18,Present,,0
Gan Eng Seng School,S3516,Hannah Ong,Sec4-4,M,2023-04-28,Absent,Other,1
Zhonghua Secondary School,S3517,Isaac Koh,Sec2-4,F,2022-03-04,Present,,0
Kent Ridge Secondary School,S3518,Gabriel Chua,Sec4-1,M,2022-07-17,Present,,0
Kent Ridge Secondary School,S3519,Charlotte Ng,Sec4-4,F,2024-10-23,Absent,Truancy,1
Gan Eng Seng School,S3520,Hannah Ong,Sec3-3,F,2023-11-18,Present,,0
Kent Ridge Secondary School,S3521,Benjamin Lee,Sec5-3,F,2023-04-18,Absent,Other,1
Singapore Chinese Girls' School,S3522,Gabriel Chua,Sec2-4,M,2025-06-02,Present,,0
St. Patrick's School,S3523,Marcus Teo,Sec5-3,F,2022-10-02,Present,,0
Victoria School,S3524,Faith Goh,Sec4-3,F,2023-03-24,Late,,0
Singapore Chinese Girls' School,S3525,Adele Lim,Sec3-3,M,2025-08-28,Present,,0
Compassvale Secondary School,S3526,Daphne Lee,Sec1-2,F,2022-08-13,Present,,0
CHIJ Katong Convent,S3527,Ella Chua,Sec3-2,M,2024-04-30,Late,,0
Anderson Secondary School,S3528,Caleb Lim,Sec3-3,F,2022-05-30,Present,,0
Victoria School,S3529,Daphne Lee,Sec3-3,F,2025-10-07,Late,,0
Temasek Secondary School,S3530,Faith Goh,Sec3-3,M,2022-03-23,Present,,0
Anderson Secondary School,S3531,Ella Chua,Sec1-4,M,2023-04-27,Absent,Truancy,1
St. Andrew's Secondary School,S3532,Gabriel Chua,Sec2-3,M,2023-08-09,Absent,Sick,1
Zhonghua Secondary School,S3533,Daphne Lee,Sec1-1,F,2022-11-30,Absent,Other,1
Springfield Secondary School,S3534,Benjamin Lee,Sec5-2,M,2023-08-24,Present,,0
Jurong Secondary School,S3535,Jayden Ho,Sec2-1,M,2025-01-23,Present,,0
Dunman High School,S3536,Lucas Tan,Sec2-1,M,2022-03-11,Present,,0
Compassvale Secondary School,S3537,Jasmine Tan,Sec2-3,F,2022-10-10,Present,,0
Nan Chiau High School,S3538,Faith Goh,Sec3-2,M,2022-02-13,Present,,0
Dunman High School,S3539,Jayden Ho,Sec3-4,M,2024-08-03,Present,,0
St. Patrick's School,S3540,Charlotte Ng,Sec3-4,F,2025-08-18,Present,,0
Anglican High School,S3541,Ethan Ng,Sec4-1,M,2022-02-13,Present,,0
Anderson Secondary School,S3542,Charlotte Ng,Sec2-4,M,2024-10-17,Absent,Truancy,1
Cedar Girls' Secondary School,S3543,Daniel Ong,Sec2-3,F,2023-03-09,Present,,0
Holy Innocents' High School,S3544,Isaac Koh,Sec3-4,F,2024-04-25,Present,,0
Kent Ridge Secondary School,S3545,Benjamin Lee,Sec2-3,F,2025-09-10,Present,,0
Zhonghua Secondary School,S3546,Jasmine Tan,Sec3-1,F,2025-04-25,Present,,0
Anderson Secondary School,S3547,Gabriel Chua,Sec3-2,F,2024-02-27,Absent,Family Matter,1
Maris Stella High School,S3548,Grace Lim,Sec4-2,M,2025-05-09,Absent,Truancy,1
Anderson Secondary School,S3549,Adele Lim,Sec5-3,F,2025-02-15,Present,,0
Anderson Secondary School,S3550,Caleb Lim,Sec3-2,F,2024-02-14,Present,,0
CHIJ Katong Convent,S3551,Adele Lim,Sec4-4,F,2024-05-13,Present,,0
Nan Chiau High School,S3552,Ethan Ng,Sec5-2,M,2025-05-24,Present,,0
St. Andrew's Secondary School,S3553,Grace Lim,Sec1-4,M,2022-04-10,Present,,0
Kent Ridge Secondary School,S3554,Isaac Koh,Sec4-3,M,2025-06-15,Present,,0
St. Patrick's School,S3555,Gabriel Chua,Sec3-1,F,2022-09-03,Present,,0
Springfield Secondary School,S3556,Gabriel Chua,Sec3-4,M,2022-06-06,Present,,0
Dunman High School,S3557,Hannah Ong,Sec5-3,M,2023-12-06,Present,,0
Yishun Town Secondary School,S3558,Ella Chua,Sec3-4,M,2023-09-29,Present,,0
Clementi Town Secondary School,S3559,Daniel Ong,Sec2-2,M,2023-03-14,Present,,0
Cedar Girls' Secondary School,S3560,Caleb Lim,Sec3-1,F,2025-04-28,Late,,0
Anderson Secondary School,S3561,Hannah Ong,Sec3-4,F,2024-03-05,Present,,0
Yishun Town Secondary School,S3562,Grace Lim,Sec1-1,M,2025-04-01,Present,,0
Dunman High School,S3563,Bella Tan,Sec3-3,F,2022-02-08,Present,,0
Hougang Secondary School,S3564,Jayden Ho,Sec3-4,F,2024-05-28,Present,,0
Dunman High School,S3565,Daniel Ong,Sec4-2,F,2025-06-08,Present,,0
Regent Secondary School,S3566,Adele Lim,Sec2-2,F,2024-03-17,Absent,Unknown,1
Victoria School,S3567,Daniel Ong,Sec2-2,F,2023-05-14,Present,,0
Clementi Town Secondary School,S3568,Daphne Lee,Sec3-3,M,2022-03-25,Present,,0
Clementi Town Secondary School,S3569,Benjamin Lee,Sec4-1,F,2024-03-18,Late,,0
Kent Ridge Secondary School,S3570,Grace Lim,Sec2-3,M,2025-03-21,Present,,0
Holy Innocents' High School,S3571,Caleb Lim,Sec3-4,F,2024-09-28,Present,,0
Clementi Town Secondary School,S3572,Caleb Lim,Sec2-1,F,2023-05-14,Present,,0
Compassvale Secondary School,S3573,Adele Lim,Sec3-3,F,2023-07-07,Present,,0
Kent Ridge Secondary School,S3574,Daphne Lee,Sec2-2,M,2024-01-29,Present,,0
Hougang Secondary School,S3575,Jasmine Tan,Sec4-3,F,2022-04-20,Present,,0
Gan Eng Seng School,S3576,Benjamin Lee,Sec3-2,M,2024-04-13,Absent,Truancy,1
St. Patrick's School,S3577,Isaac Koh,Sec5-2,F,2022-04-07,Present,,0
Peicai Secondary School,S3578,Jayden Ho,Sec4-4,F,2024-11-19,Present,,0
Peicai Secondary School,S3579,Charlotte Ng,Sec1-3,F,2022-05-09,Absent,Truancy,1
Bedok Green Secondary School,S3580,Jasmine Tan,Sec5-3,M,2022-08-11,Present,,0
Holy Innocents' High School,S3581,Benjamin Lee,Sec5-3,F,2024-11-15,Present,,0
Fairfield Methodist Secondary School,S3582,Bella Tan,Sec1-2,M,2024-04-22,Present,,0
Hougang Secondary School,S3583,Isabelle Ho,Sec5-1,F,2025-03-18,Present,,0
